iter	Passed	Remaining
0	55	55609
1	55	27906
2	56	18669
3	56	14056
4	56	11285
5	56	9439
6	57	8120
7	57	7180
8	58	6474
9	59	5846
10	59	5333
11	59	4906
12	59	4544
13	60	4233
14	60	3964
15	60	3728
16	60	3521
17	61	3336
18	61	3171
19	61	3022
20	61	2887
21	62	2764
22	62	2653
23	62	2550
24	62	2456
25	63	2369
26	63	2293
27	64	2229
28	65	2193
29	71	2318
30	71	2250
31	72	2198
32	73	2143
33	73	2091
34	74	2042
35	74	1993
36	74	1944
37	74	1898
38	75	1853
39	75	1811
40	75	1771
41	76	1733
42	76	1697
43	76	1662
44	76	1629
45	77	1597
46	77	1567
47	77	1538
48	77	1510
49	78	1483
50	78	1457
51	78	1433
52	78	1409
53	79	1386
54	79	1364
55	79	1342
56	79	1321
57	80	1302
58	80	1282
59	80	1264
60	80	1246
61	81	1229
62	81	1212
63	81	1195
64	82	1179
65	82	1164
66	82	1149
67	82	1132
68	82	1118
69	83	1104
70	83	1094
71	84	1085
72	84	1075
73	85	1065
74	85	1053
75	85	1041
76	86	1033
77	86	1024
78	87	1016
79	87	1007
80	88	999
81	88	990
82	89	983
83	89	975
84	89	964
85	89	955
86	89	944
87	90	935
88	90	926
89	90	917
90	91	909
91	91	900
92	91	892
93	91	884
94	92	876
95	92	869
96	92	861
97	92	854
98	93	847
99	93	839
100	93	833
101	93	824
102	93	818
103	94	811
104	94	805
105	94	798
106	94	792
107	95	786
108	95	780
109	95	774
110	95	768
111	96	762
112	96	757
113	96	753
114	97	748
115	97	744
116	98	740
117	98	736
118	98	732
119	99	727
120	103	751
121	103	746
122	103	739
123	104	734
124	104	729
125	104	725
126	104	720
127	104	714
128	105	710
129	105	705
130	105	701
131	105	696
132	106	692
133	106	687
134	106	683
135	106	679
136	107	675
137	107	670
138	107	666
139	107	662
140	108	658
141	108	654
142	108	651
143	108	647
144	109	643
145	109	639
146	109	636
147	109	632
148	110	629
149	110	625
150	110	622
151	111	620
152	111	616
153	111	613
154	111	610
155	112	606
156	112	603
157	112	600
158	112	597
159	113	594
160	113	591
161	113	588
162	113	585
163	114	582
164	114	579
165	114	576
166	114	573
167	115	570
168	115	567
169	115	564
170	115	562
171	116	559
172	116	556
173	116	554
174	117	551
175	117	550
176	118	549
177	118	547
178	118	545
179	119	544
180	119	541
181	119	539
182	120	537
183	120	535
184	121	534
185	121	532
186	122	530
187	122	529
188	122	527
189	123	525
190	123	523
191	123	520
192	124	518
193	124	516
194	124	514
195	124	511
196	125	509
197	125	508
198	125	506
199	126	505
200	126	504
201	127	502
202	127	501
203	127	499
204	128	497
205	128	495
206	128	493
207	129	491
208	129	489
209	129	487
210	129	485
211	130	483
212	130	481
213	130	479
214	130	477
215	131	475
216	131	473
217	131	471
218	131	470
219	132	468
220	132	466
221	132	464
222	132	462
223	133	460
224	133	459
225	133	457
226	133	455
227	134	453
228	134	452
229	134	450
230	134	448
231	135	447
232	135	445
233	135	443
234	135	442
235	136	440
236	136	439
237	136	437
238	136	435
239	137	434
240	137	432
241	137	431
242	137	429
243	138	428
244	138	426
245	138	425
246	138	423
247	139	422
248	139	420
249	139	419
250	139	417
251	140	416
252	140	414
253	140	413
254	140	411
255	141	410
